CITY,BRAND,WEIGHT,LOW,HIGH,AVG
MANILA,REGASCO,2.7 KG,185,180,182.5
MANILA,SHINE GAZ,2.7 KG,205,200,202.5
MANILA,SOLANE,2.7 KG,233,231,232
MANILA,SOLANE,2.7 KG,233,231,232
MANILA,TONG & MILES,2.7 KG,240,230,235
MANILA,TOTAL GAS/SUPERKALAN,2.7 KG,208,206,207
MANILA,TOTAL GAS/SUPERKALAN,2.7 KG,208,206,207
MANILA,TOTAL GAS/SUPERKALAN,2.7 KG,213,211,212
MANILA,TOTAL GAS/SUPERKALAN,2.7 KG,237,235,236
MARIKINA,FIESTA GAS,2.7 KG,222,220,221
MARIKINA,GASUL,2.7 KG,222,220,221
MUNTINLUPA CITY,BRENT GAS,2.7 KG,234,232,233
MUNTINLUPA CITY,BRENT GAS,2.7 KG,232,232,232
MUNTINLUPA CITY,BRENT GAS,2.7 KG,234,232,233
MUNTINLUPA CITY,FIESTA GAS,2.7 KG,202,200,201
MUNTINLUPA CITY,GASUL,2.7 KG,222,220,221
MUNTINLUPA CITY,ISLAND GAS,2.7 KG,268,260,264
MUNTINLUPA CITY,TIN & MIG,2.7 KG,195,190,192.5
MUNTINLUPA CITY,VIC'S LPG,2.7 KG,200,190,195
NAVOTAS,FIESTA GAS,2.7 KG,194,192,193
NAVOTAS,Gasul,2.7 KG,222,220,221
NAVOTAS,REGASCO,2.7 KG,165,162,163.5
NAVOTAS,SUPERKALAN,2.7 KG,233,230.33,231.665
NAVOTAS,TOWN GAS,2.7 KG,170,167,168.5
PARANAQUE CITY,BRENT GAS,2.7 KG,232,232,232
PARANAQUE CITY,FIESTA GAS,2.7 KG,202,200,201
PARANAQUE CITY,GASUL,2.7 KG,222,220,221
PARANAQUE CITY,GASUL,2.7 KG,222,220,221
PARANAQUE CITY,GASUL,2.7 KG,222,220,221
PARANAQUE CITY,GASUL,2.7 KG,222,220,221
PARANAQUE CITY,FIESTA GAS,2.7 KG,202,200,201
PARANAQUE CITY,GASULITE,2.7 KG,222,220,221
PARANAQUE CITY,ISLAND GAS,2.7 KG,247,239,243
PARANAQUE CITY,ROYAL ZOBEL,2.7 KG,220,212,216
PASAY CITY,FIESTA GAS,2.7 KG,202,200,201
PASAY CITY,GASUL,2.7 KG,222,220,221
PASAY CITY,GASUL,2.7 KG,222,220,221
PASAY CITY,ISLAND GAS,2.7 KG,200,192,196
PASAY CITY,ISLAND GAS,2.7 KG,201,192,196.5
PASAY CITY,ISLAND GAS,2.7 KG,200,192,196
PASIG CITY,FIESTA GAS,2.7 KG,202,200,201
PASIG CITY,FIESTA GAS,2.7 KG,202,200,201
PASIG CITY,GASUL,2.7 KG,222,220,221
PASIG CITY,GASUL,2.7 KG,222,220,221
PASIG CITY,ISLAND GAS,2.7 KG,219,211,215
PASIG CITY,ISLAND GAS,2.7 KG,226,218,222
PASIG CITY,SUPERKALAN/TOTAL,2.7 KG,225,224,224.5
QUEZON CITY,BRENT GAS,2.7 KG,234,232,233
QUEZON CITY,BRENT GAS,2.7 KG,234,232,233
QUEZON CITY,BRENT GAS,2.7 KG,234,232,233
QUEZON CITY,EQUIGAZ,2.7 KG,233,230,231.5
QUEZON CITY,FIESTA GAS,2.7 KG,202,200,201
QUEZON CITY,FIESTA GAS,2.7 KG,202,200,201
QUEZON CITY,FIESTA GAS,2.7 KG,202,200,201
QUEZON CITY,FIESTA GAS,2.7 KG,202,200,201
QUEZON CITY,FIESTA GAS,2.7 KG,222,220,221
QUEZON CITY,FORTUNE GAS,2.7 KG,730,722,726
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,238,235,236.5
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,ISLAND AIR PRODUCTS,2.7 KG,230,220,225
QUEZON CITY,LUZON GAS,2.7 KG,235,228,231.5
QUEZON CITY,MGAS,2.7 KG,220,210,215
QUEZON CITY,REGASCO,2.7 KG,225,218,221.5
QUEZON CITY,REGASCO,2.7 KG,225,218,221.5
QUEZON CITY,REGASCO,2.7 KG,225,218,221.5
QUEZON CITY,REGASCO,2.7 KG,225,218,221.5
QUEZON CITY,TOTAL GAS/SUPERKALAN,2.7 KG,225,224,224.5
QUEZON CITY,TOTAL GAS/SUPERKALAN,2.7 KG,225,224,224.5
QUEZON CITY,TOTAL GAS/SUPERKALAN,2.7 KG,225,224,224.5
QUEZON CITY,TOTAL GAS/SUPERKALAN,2.7 KG,225,224,224.5
San Juan City,GASUL,2.7 KG,222,220,221
San Juan City,FIESTA GAS,2.7 KG,202,200,201
TAGUIG CITY,BRENT GAS,2.7 KG,234,232,233
TAGUIG CITY,BRENT GAS,2.7 KG,234,232,233
TAGUIG CITY,FIESTA GAS,2.7 KG,202,200,201
TAGUIG CITY,GASUL,2.7 KG,222,220,221
TAGUIG CITY,REGASCO,2.7 KG,215,210,212.5
VALENZUELA CITY,BRENT GAS,2.7 KG,234,232,233
VALENZUELA CITY,FIESTA GAS,2.7 KG,202,200,201
VALENZUELA CITY,GASUL,2.7 KG,222,220,221
VALENZUELA CITY,ISLAND AIR PRODUCTS,2.7 KG,230,222,226
VALENZUELA CITY,MGAS,2.7 KG,230,222,226
VALENZUELA CITY,SUPERKALAN TOTAL,2.7 KG,233,231,232
PATEROS,FIESTA GAS,2.7 KG,202,200,201
PATEROS,GASUL,2.7 KG,222,220,221
PATEROS,SUPERKALAN TOTAL,2.7 KG,255,253,254
PATEROS,SUPERKALAN TOTAL,2.7 KG,253,241,247
MUNTINLUPA CITY,MALAYA GAS,2.0 KG,162,156,159
MANILA,Auto Gas (Clean Fuel),1 LITER,32.95,31.35,32.15
MANILA,Auto Gas (Clean Fuel),1 LITER,32.95,31.35,32.15
MANILA,Auto Gas (Clean Fuel),1 LITER,32.95,31.35,32.15
PASIG CITY,Auto LPG,1 LITER,32.95,31.35,32.15
Quezon City,Auto Gas (Clean Fuel),1 LITER,32.95,31.35,32.15
Quezon City,Auto Gas (Clean Fuel),1 LITER,32.95,31.35,32.15
CALOOCAN CITY,BRENT GAS,50 KG,3529,3381,3455
CALOOCAN CITY,BRENT GAS,50 KG,3381,3381,3381
CALOOCAN CITY,GASUL,50 KG,3673,3636,3654.5
CALOOCAN CITY,REGASCO,50 KG,2900,2900,2900
CALOOCAN CITY,REGASCO,50 KG,2900,2900,2900
LAS PINAS CITY,BRENT GAS,50 KG,3529,3381,3455
LAS PINAS CITY,BRENT GAS,50 KG,3529,3381,3455
LAS PINAS CITY,FIESTA GAS,50 KG,3866,3718,3792
LAS PINAS CITY,GASUL,50 KG,3866,3718,3792
LAS PINAS CITY,PHOENIX SUPER LPG,50 KG,3693,3545,3619
LAS PINAS CITY,SUPERKALAN (TOTAL),50 KG,3173,3173,3173
LAS PINAS CITY,SUPERKALAN (TOTAL),50 KG,3404,3256,3330
MAKATI CITY,GASUL,50 KG,3978,3860,3919
MAKATI CITY,PHOENIX SUPER LPG,50 KG,3764,3607.5,3685.75
MAKATI CITY,SOLANE,50 KG,4628.2,4498.12,4563.16
MAKATI CITY,SUPERKALAN/to,50 KG,3735,3585,3660
MALABON,FIESTA GAS,50 KG,3673,3636,3654.5
MALABON,FIESTA GAS,50 KG,3791,3643,3717
MALABON,GASUL,50 KG,3784,3636,3710
MALABON,GASUL,50 KG,3643,3643,3643
MALABON,SOLANE,50 KG,4503.03,4503.03,4503.03
MALABON,SUPER KALAN/TOTAL,50 KG,3944.5,3796.5,3870.5
MANDALUYONG,BRENT GAS,50 KG,3529,3381,3455
MANDALUYONG,GASUL,50 KG,3912,3764,3838
MANDALUYONG,GASUL,50 KG,3348,3200,3274
MANDALUYONG,ISLAND GAS,50 KG,3850,3700,3775
MANDALUYONG,PHILGAS,50 KG,3350,3350,3350
MANDALUYONG,SOLANE,50 KG,4853,4612,4732.5
MANDALUYONG,SUPER KALAN/TOTAL,50 KG,3826,3714,3770
MANDALUYONG,SUPER KALAN/TOTAL,50 KG,3862,3714,3788
MANILA,BRENT GAS,50 KG,3529,3381,3455
MANILA,BRENT GAS,50 KG,3529,3381,3455
MANILA,GASLAND,50 KG,3700,3550,3625
MANILA,GASUL,50 KG,3681,3645,3663
MANILA,GASUL,50 KG,3681,3645,3663
MANILA,GASUL,50 KG,3770,3620,3695
MANILA,GASUL,50 KG,3871,3723,3797
MANILA,GASUL,50 KG,3784,3636,3710
MANILA,ISLAND GAS,50 KG,3850,3700,3775
MANILA,LIQUIGAZ,50 KG,3600,3450,3525
MANILA,LIQUIGAZ,50 KG,3803,3803,3803
MANILA,LUZON GAS,50 KG,3000,2850,2925
MANILA,Masagana Gas,50 KG,2775,2775,2775
MANILA,PHILGAS,50 KG,3325,3225,3275
MANILA,REGASCO,50 KG,3667,3667,3667
MANILA,SOLANE,50 KG,4542.36,4506.03,4524.195
MANILA,SOLANE,50 KG,4542.36,4506.03,4524.195
MANILA,TONG & MILES,50 KG,2800,2700,2750
MANILA,TOTAL GAS/SUPERKALAN,50 KG,3846,3698,3772
MANILA,TOTAL GAS/SUPERKALAN,50 KG,3846,3700,3773
MANILA,TOTAL GAS/SUPERKALAN,50 KG,3991,3803,3897
MARIKINA,FIESTA GAS,50 KG,3478,3442,3460
MARIKINA,GASUL,50 KG,3478,3442,3460
MUNTINLUPA CITY,BRENT GAS,50 KG,3529,3381,3455
MUNTINLUPA CITY,BRENT GAS,50 KG,3529,3381,3455
MUNTINLUPA CITY,BRENT GAS,50 KG,3529,3381,3455
MUNTINLUPA CITY,GASUL,50 KG,3880,3832,3856
MUNTINLUPA CITY,ISLAND GAS,50 KG,4150,4000,4075
MUNTINLUPA CITY,MALAYA GAS,50 KG,3110,2965,3037.5
MUNTINLUPA CITY,TIN & MIG,50 KG,3000,2850,2925
MUNTINLUPA CITY,VIC'S LPG,50 KG,2500,2350,2425
NAVOTAS,GASUL,50 KG,3784,3636,3710
NAVOTAS,SOLANE,50 KG,4652,4506.03,4579.015
PARANAQUE CITY,BRENT GAS,50 KG,3381,3381,3381
PARANAQUE CITY,GASUL,50 KG,3654,3506,3580
PARANAQUE CITY,GASUL,50 KG,3368,3405,3386.5
PARANAQUE CITY,GASUL,50 KG,3368,3405,3386.5
PARANAQUE CITY,GASUL,50 KG,3368,3405,3386.5
PARANAQUE CITY,GASUL,50 KG,3654,3506,3580
PARANAQUE CITY,ISLAND GAS,50 KG,3720,3570,3645
PARANAQUE CITY,SOLANE,50 KG,4200,4300,4250
PASAY CITY,GASUL,50 KG,3190,3042,3116
PASAY CITY,GASUL,50 KG,3551,3403,3477
PASAY CITY,ISLAND GAS,50 KG,3935,3785,3860
PASAY CITY,ISLAND GAS,50 KG,3818,3785,3801.5
PASAY CITY,ISLAND GAS,50 KG,3818,3785,3801.5
PASIG CITY,GASUL,50 KG,3380,3232,3306
PASIG CITY,GASUL,50 KG,3570.5,3422.5,3496.5
PASIG CITY,ISLAND GAS,50 KG,3450,3300,3375
PASIG CITY,ISLAND GAS,50 KG,3600,3500,3550
PASIG CITY,ISLAND GAS,50 KG,3495,3500,3497.5
PASIG CITY,PHOENIX SUPER LPG,50 KG,3700,3553,3626.5
PASIG CITY,SUPERKALAN/TOTAL,50 KG,3740,3641,3690.5
QUEZON CITY,BRENT GAS,50 KG,3529,3381,3455
QUEZON CITY,BRENT GAS,50 KG,3529,3381,3455
QUEZON CITY,BRENT GAS,50 KG,3529,3381,3455
QUEZON CITY,FIESTA GAS,50 KG,3953,3805,3879
QUEZON CITY,FIESTA GAS,50 KG,3948,3800,3874
QUEZON CITY,FIESTA GAS,50 KG,3948,3800,3874
QUEZON CITY,FIESTA GAS,50 KG,3948,3800,3874
QUEZON CITY,GASUL,50 KG,3948,3800,3874
QUEZON CITY,GASUL,50 KG,3953,3805,3879
QUEZON CITY,GASUL,50 KG,3948,3800,3874
QUEZON CITY,GASUL,50 KG,3444,3298,3371
QUEZON CITY,GASUL,50 KG,3924.4,3776,3850.2
QUEZON CITY,GASUL,50 KG,3948,3800,3874
QUEZON CITY,GASUL,50 KG,3948,3800,3874
QUEZON CITY,GASUL,50 KG,3953,3805,3879
QUEZON CITY,LUZON GAS,50 KG,3050,2950,3000
QUEZON CITY,MGAS,50 KG,3600,3400,3500
QUEZON CITY,PHOENIX SUPER LPG,50 KG,3702,3554,3628
QUEZON CITY,REGASCO,50 KG,2950,2800,2875
QUEZON CITY,REGASCO,50 KG,2950,2800,2875
QUEZON CITY,REGASCO,50 KG,2950,2800,2875
QUEZON CITY,REGASCO,50 KG,2950,2800,2875
QUEZON CITY,SAM GAS,50 KG,3496,3348,3422
QUEZON CITY,SOLANE,50 KG,4753,4603,4678
QUEZON CITY,SOLANE,50 KG,4656.11,4506.03,4581.07
QUEZON CITY,TOTAL GAS/SUPERKALAN,50 KG,3751,3648,3699.5
QUEZON CITY,TOTAL GAS/SUPERKALAN,50 KG,3748,3648,3698
QUEZON CITY,TOTAL GAS/SUPERKALAN,50 KG,3748,3648,3698
QUEZON CITY,TOTAL GAS/SUPERKALAN,50 KG,3748,3648,3698
San Juan City,BRENT GAS,50 KG,3381,3381,3381
San Juan City,GASUL,50 KG,3730,3580,3655
San Juan City,SOLANE,50 KG,4853,4612,4732.5
TAGUIG CITY,BRENT GAS,50 KG,3529,3381,3455
TAGUIG CITY,BRENT GAS,50 KG,3529,3381,3455
TAGUIG CITY,PHOENIX SUPER LPG,50 KG,3598,3561,3579.5
TAGUIG CITY,PHOENIX SUPER LPG,50 KG,3598,3561,3579.5
TAGUIG CITY,PHOENIX SUPER LPG,50 KG,3598,3561,3579.5
VALENZUELA CITY,BRENT GAS,50 KG,3529,3381,3455
VALENZUELA CITY,GASUL,50 KG,3968,3932.66,3950.33
VALENZUELA CITY,ISLAND AIR PRODUCTS,50 KG,3582,3432,3507
VALENZUELA CITY,MGAS,50 KG,3582,3432,3507
VALENZUELA CITY,SOLANE,50 KG,4542.36,4506.03,4524.195
PATEROS,BRENT GAS,50 KG,3301,3153,3227
PATEROS,GASUL,50 KG,3380,3232,3306
CALOOCAN CITY,BRENT GAS,22 KG,1578,1512,1545
CALOOCAN CITY,BRENT GAS,22 KG,1512,1512,1512
CALOOCAN CITY,REGASCO,22 KG,1410,1410,1410
CALOOCAN CITY,REGASCO,22 KG,1410,1410,1410
LAS PINAS CITY,BRENT GAS,22 KG,1578,1512,1545
LAS PINAS CITY,BRENT GAS,22 KG,1578,1512,1545
LAS PINAS CITY,FIESTA GAS,22 KG,1709,1644,1676.5
LAS PINAS CITY,GASUL,22 KG,1709,1644,1676.5
LAS PINAS CITY,SUPERKALAN (TOTAL),22 KG,1506,1506,1506
LAS PINAS CITY,SUPERKALAN (TOTAL),22 KG,1607,1542,1574.5
MAKATI CITY,Masagana Gas,22 KG,1262,1324,1293
MAKATI CITY,PHOENIX SUPER LPG,22 KG,1627,1566,1596.5
MAKATI CITY,SUPERKALAN/to,22 KG,1530,1510,1520
MALABON,FIESTA GAS,22 KG,1669,1604,1636.5
MALABON,FIESTA GAS,22 KG,1460,1444,1452
MALABON,GASUL,22 KG,1669,1604,1636.5
MALABON,GASUL,22 KG,1620,1604,1612
MANDALUYONG,BRENT GAS,22 KG,1578,1512,1545
MANDALUYONG,GASUL,22 KG,1624,1559,1591.5
MANDALUYONG,ISLAND GAS,22 KG,1640,1580,1610
MANDALUYONG,PHILGAS,22 KG,1420,1420,1420
MANDALUYONG,SUPER KALAN/TOTAL,22 KG,1689,1640,1664.5
MANDALUYONG,SUPER KALAN/TOTAL,22 KG,1705,1640,1672.5
MANILA,BRENT GAS,22 KG,1578,1512,1545
MANILA,BRENT GAS,22 KG,1578,1512,1545
MANILA,FIESTA GAS,22 KG,1460,1444,1452
MANILA,GASUL,22 KG,1620,1604,1612
MANILA,GASUL,22 KG,1620,1604,1612
MANILA,GASUL,22 KG,1620,1604,1612
MANILA,GASUL,22 KG,1539,1474,1506.5
MANILA,GASUL,22 KG,1669,1604,1636.5
MANILA,ISLAND GAS,22 KG,1655,1590,1622.5
MANILA,LIQUIGAZ,22 KG,1430,1370,1400
MANILA,LIQUIGAZ,22 KG,1590,1590,1590
MANILA,LUZON GAS,22 KG,1330,1270,1300
MANILA,Masagana Gas,22 KG,1276,1254,1265
MANILA,Masagana Gas,22 KG,1310,1310,1310
MANILA,Masagana Gas,22 KG,1310,1310,1310
MANILA,PHILGAS,22 KG,1410,1360,1385
MANILA,REGASCO,22 KG,1413,1413,1413
MANILA,TONG & MILES,22 KG,1560,1466,1513
MANILA,TOTAL GAS/SUPERKALAN,22 KG,1810,1745,1777.5
MANILA,TOTAL GAS/SUPERKALAN,22 KG,1810,1745,1777.5
MANILA,TOTAL GAS/SUPERKALAN,22 KG,1645,1590,1617.5
MARIKINA,FIESTA GAS,22 KG,1460,1444,1452
MARIKINA,GASUL,22 KG,1540,1524,1532
MUNTINLUPA CITY,BRENT GAS,22 KG,1578,1512,1545
MUNTINLUPA CITY,BRENT GAS,22 KG,1578,1512,1545
MUNTINLUPA CITY,BRENT GAS,22 KG,1578,1512,1545
MUNTINLUPA CITY,GASUL,22 KG,1666,1601,1633.5
MUNTINLUPA CITY,ISLAND GAS,22 KG,1642,1576,1609
MUNTINLUPA CITY,MALAYA GAS,22 KG,1360,1294,1327
MUNTINLUPA CITY,TIN & MIG,22 KG,1320,1260,1290
MUNTINLUPA CITY,VIC'S LPG,22 KG,1300,1220,1260
NAVOTAS,GASUL,22 KG,1669,1604,1636.5
PARANAQUE CITY,BRENT GAS,22 KG,1512,1512,1512
PARANAQUE CITY,GASUL,22 KG,1669,1604,1636.5
PARANAQUE CITY,GASUL,22 KG,1606,1632,1619
PARANAQUE CITY,GASUL,22 KG,1606,1632,1619
PARANAQUE CITY,GASUL,22 KG,1606,1632,1619
PARANAQUE CITY,GASUL,22 KG,1669,1604,1636.5
PARANAQUE CITY,ISLAND GAS,22 KG,1566,1500,1533
PASAY CITY,GASUL,22 KG,1647,1582.5,1614.75
PASAY CITY,GASUL,22 KG,1709,1604,1656.5
PASAY CITY,ISLAND GAS,22 KG,1667.12,1601.12,1634.12
PASAY CITY,ISLAND GAS,22 KG,1667,1601,1634
PASAY CITY,ISLAND GAS,22 KG,1667,1601,1634
PASIG CITY,FIESTA GAS,22 KG,1672.25,1656.41,1664.33
PASIG CITY,GASUL,22 KG,1972,1906,1939
PASIG CITY,GASUL,22 KG,1735.14,1719.3,1727.22
PASIG CITY,ISLAND GAS,22 KG,1610,1550,1580
PASIG CITY,ISLAND GAS,22 KG,1606,1540,1573
QUEZON CITY,BRENT GAS,22 KG,1578,1512,1545
QUEZON CITY,BRENT GAS,22 KG,1578,1512,1545
QUEZON CITY,BRENT GAS,22 KG,1578,1512,1545
QUEZON CITY,EQUIGAZ,22 KG,1420,1360,1390
QUEZON CITY,FIESTA GAS,22 KG,1509,1444,1476.5
QUEZON CITY,FIESTA GAS,22 KG,1739,1674,1706.5
QUEZON CITY,FIESTA GAS,22 KG,1741,1674,1707.5
QUEZON CITY,FIESTA GAS,22 KG,1739,1674,1706.5
QUEZON CITY,GASUL,22 KG,1741,1674,1707.5
QUEZON CITY,GASUL,22 KG,1669,1604,1636.5
QUEZON CITY,GASUL,22 KG,1739,1674,1706.5
QUEZON CITY,GASUL,22 KG,1460,1444,1452
QUEZON CITY,GASUL,22 KG,1741,1674,1707.5
QUEZON CITY,GASUL,22 KG,1739,802,1270.5
QUEZON CITY,GASUL,22 KG,1669,1604,1636.5
QUEZON CITY,ISLAND AIR PRODUCTS,22 KG,1346,1288,1317
QUEZON CITY,LUZON GAS,22 KG,1360,1310,1335
QUEZON CITY,MGAS,22 KG,1560,1500,1530
QUEZON CITY,PHOENIX SUPER LPG,22 KG,1628,1563,1595.5
QUEZON CITY,REGASCO,22 KG,1470,1410,1440
QUEZON CITY,REGASCO,22 KG,1470,1410,1440
QUEZON CITY,REGASCO,22 KG,1470,1410,1440
QUEZON CITY,REGASCO,22 KG,1470,1410,1440
QUEZON CITY,SAM GAS,22 KG,1547.25,1482,1514.625
San Juan City,BRENT GAS,22 KG,1512,1512,1512
San Juan City,GASUL,22 KG,1600,1590,1595
TAGUIG CITY,BRENT GAS,22 KG,1578,1512,1545
TAGUIG CITY,BRENT GAS,22 KG,1578,1512,1545
TAGUIG CITY,PHOENIX SUPER LPG,22 KG,1580,1566,1573
TAGUIG CITY,PHOENIX SUPER LPG,22 KG,1580,1566,1573
TAGUIG CITY,PHOENIX SUPER LPG,22 KG,1580,1566,1573
VALENZUELA CITY,BRENT GAS,22 KG,1578,1512,1545
VALENZUELA CITY,ISLAND AIR PRODUCTS,22 KG,1576,1510,1543
VALENZUELA CITY,MGAS,22 KG,1576,1510,1543
PATEROS,GASUL,22 KG,1972,1906,1939
PATEROS,PHOENIX SUPER LPG,22 KG,1580,1566,1573
PATEROS,SUPERKALAN TOTAL,22 KG,1576,1558,1567
